no fromNode toNode weight
"384" "MMT00000840" "MMT00022657" 0.0280764905145106
"385" "MMT00000840" "MMT00024307" 0.031813903816634
"386" "MMT00000840" "MMT00024492" 0.0209293264514824
"387" "MMT00000840" "MMT00025021" 0.0248358892353864
"388" "MMT00000840" "MMT00025886" 0.0211480282935935
"389" "MMT00000840" "MMT00026028" 0.042559060012746
"390" "MMT00000840" "MMT00026166" 0.0299123820042377
"391" "MMT00000840" "MMT00026397" 0.0281866866919738
"392" "MMT00000840" "MMT00026450" 0.0210198217929969
"393" "MMT00000840" "MMT00026462" 0.0273581853752001
"394" "MMT00000840" "MMT00026944" 0.0266276177294937
"395" "MMT00000840" "MMT00027378" 0.039143619548566
"396" "MMT00000840" "MMT00027530" 0.0302996193706004
"397" "MMT00000840" "MMT00027615" 0.0221699574528151
"398" "MMT00000840" "MMT00027989" 0.0261152399730174
"399" "MMT00000840" "MMT00028594" 0.0216357249565717
"400" "MMT00000840" "MMT00028683" 0.0374871575101302
"401" "MMT00000840" "MMT00028861" 0.0497031313828373
"402" "MMT00000840" "MMT00029547" 0.0212634218954156
"403" "MMT00000840" "MMT00030255" 0.0254748354409963
"404" "MMT00000840" "MMT00030465" 0.0271552160848731
"405" "MMT00000840" "MMT00030931" 0.026209758181024
"406" "MMT00000840" "MMT00031263" 0.0290980344295899
"407" "MMT00000840" "MMT00031586" 0.0294262683752939
"408" "MMT00000840" "MMT00031650" 0.0220869085521625
"409" "MMT00000840" "MMT00031873" 0.0230363275156653
"410" "MMT00000840" "MMT00032175" 0.0217758631629075
"411" "MMT00000840" "MMT00032264" 0.0418148345005449
"412" "MMT00000840" "MMT00032545" 0.024179757708071
"413" "MMT00000840" "MMT00033171" 0.0254806187439507
"414" "MMT00000840" "MMT00034286" 0.0300319214588297
"415" "MMT00000840" "MMT00034355" 0.030494908013876
"416" "MMT00000840" "MMT00034709" 0.0341279494721145
"417" "MMT00000840" "MMT00034916" 0.024377008376417
"418" "MMT00000840" "MMT00036790" 0.0311193152165014
"419" "MMT00000840" "MMT00038270" 0.0202486091901048
"420" "MMT00000840" "MMT00039457" 0.024301403344918
"421" "MMT00000840" "MMT00039459" 0.0354320143791964
"422" "MMT00000840" "MMT00041355" 0.0259567497281304
"423" "MMT00000840" "MMT00042972" 0.0308154572552695
"424" "MMT00000840" "MMT00043004" 0.0221760705509045
"425" "MMT00000840" "MMT00043964" 0.0214557867230672
"426" "MMT00000840" "MMT00045775" 0.0233152819740645
"427" "MMT00000840" "MMT00046778" 0.0244143703923453
"428" "MMT00000840" "MMT00049743" 0.0251657221591678
"429" "MMT00000840" "MMT00050363" 0.0244174886932931
"430" "MMT00000840" "MMT00050552" 0.0218079816836439
"431" "MMT00000840" "MMT00051144" 0.0249745088715866
"432" "MMT00000840" "MMT00051244" 0.0363323857495321
"433" "MMT00000840" "MMT00052695" 0.0351353487221
"434" "MMT00000840" "MMT00052927" 0.0303195413172837
"435" "MMT00000840" "MMT00053218" 0.032129359110051
"436" "MMT00000840" "MMT00054513" 0.020553972527103
"437" "MMT00000840" "MMT00054735" 0.0229153802838878
"438" "MMT00000840" "MMT00055005" 0.04497134314992
"439" "MMT00000840" "MMT00055391" 0.0262653126920156
"440" "MMT00000840" "MMT00055441" 0.0432973979228175
"441" "MMT00000840" "MMT00056362" 0.0289852152247467
"442" "MMT00000840" "MMT00056584" 0.029115077908876
"443" "MMT00000840" "MMT00056798" 0.0266331792210646
"444" "MMT00000840" "MMT00056866" 0.0558615867633086
"445" "MMT00000840" "MMT00058315" 0.0236549604290467
"446" "MMT00000840" "MMT00058618" 0.0251318380447912
"447" "MMT00000840" "MMT00060559" 0.0224809166639209
"448" "MMT00000840" "MMT00060760" 0.0218321391363038
"449" "MMT00000840" "MMT00060868" 0.0340710335814829
"450" "MMT00000840" "MMT00061312" 0.0209736134293005
"451" "MMT00000840" "MMT00061313" 0.0311922135210386
"452" "MMT00000840" "MMT00061334" 0.0211494079887289
"453" "MMT00000840" "MMT00061484" 0.0242999954462645
"454" "MMT00000840" "MMT00061509" 0.0236261393243469
"455" "MMT00000840" "MMT00061767" 0.0460694091391781
"456" "MMT00000840" "MMT00061815" 0.039369105552992
"457" "MMT00000840" "MMT00062787" 0.0306989139520435
"458" "MMT00000840" "MMT00064235" 0.0446666130707308
"459" "MMT00000840" "MMT00064300" 0.0210283667534901
"460" "MMT00000840" "MMT00065159" 0.0465776505926674
"461" "MMT00000840" "MMT00066001" 0.0281130656720703
"462" "MMT00000840" "MMT00066141" 0.0287624203937219
"463" "MMT00000840" "MMT00067079" 0.0490886258748831
"464" "MMT00000840" "MMT00067156" 0.0276769675375067
"465" "MMT00000840" "MMT00067261" 0.0376286380942098
"466" "MMT00000840" "MMT00067525" 0.0276693393925897
"467" "MMT00000840" "MMT00067823" 0.0544402169188999
"468" "MMT00000840" "MMT00070342" 0.0200027850946378
"469" "MMT00000840" "MMT00070677" 0.0212356883275854
"470" "MMT00000840" "MMT00071189" 0.0331003501064117
"471" "MMT00000840" "MMT00071242" 0.0299224306380502
"472" "MMT00000840" "MMT00071411" 0.047504429636783
"473" "MMT00000840" "MMT00072000" 0.0226703445872173
"474" "MMT00000840" "MMT00072042" 0.0250466317538632
"475" "MMT00000840" "MMT00072152" 0.0211000370524956
"476" "MMT00000840" "MMT00074488" 0.0262991612726448
"477" "MMT00000840" "MMT00074541" 0.0265670863619683
"478" "MMT00000840" "MMT00075972" 0.0203572117704195
"479" "MMT00000840" "MMT00076382" 0.0254126176794034
"480" "MMT00000840" "MMT00077345" 0.0340990403045959
"481" "MMT00000840" "MMT00078732" 0.0501706224205325
"482" "MMT00000840" "MMT00078851" 0.0612715988921012
"483" "MMT00000840" "MMT00080695" 0.0200402545115917
"484" "MMT00000840" "MMT00081331" 0.0399195729061844
"485" "MMT00000840" "MMT00081439" 0.0247456186332476
"486" "MMT00000840" "MMT00081689" 0.041487970075292
